,0
261,blsmohon
262,bltidak
263,bludru
264,blue
265,bluecape
266,blui
267,bner
268,bngat
269,bnget
270,bngt
271,bnos
272,bnr
273,bnya
274,bnyak
275,bnyk
276,bohong
277,bokong
278,bolong
279,bom
280,bong
281,bos
282,bosan
283,boster
284,box
285,boxnga
286,br
287,brang
288,brangnya
289,brapa
290,brati
291,brfungsi
292,brg
293,brgnya
294,brli
295,brng
296,brngnya
297,bro
298,brown
299,brownyg
300,bru
301,bs
302,bsa
303,bsgu
304,btw
305,buagus
306,buah
307,buat
308,buble
309,bublewrap
310,buka
311,buket
312,bukti
313,bundernya
314,bunga
315,bungkus
316,buntung
317,buru
318,buruk
319,buset
320,but
321,butek
322,buton
323,butuh
324,buy
325,bwt
326,byk
327,cacat
328,cacathanks
329,cacatnex
330,cacatpengemasan
331,cadang
332,cahaya
333,cakep
334,cancelin
335,cancelnya
336,cantelanya
337,cantik
338,cantikdan
339,cantip
340,cantung
341,carang
342,cardigan
343,cardinganya
344,cari
345,casual
346,cd
347,cdangan
348,cek
349,cela
350,celana
351,celanaya
352,cenderung
353,cepat
354,cepatnext
355,cepet
356,cepol
357,cermin
358,charcoal
359,chat
360,chatbru
361,check
362,chek
363,chekout
364,china
365,cho
366,choco
367,chorcoal
368,cht
369,cincong
370,cinta
371,citra
372,cma
373,cman
374,cmn
375,co
376,coba
377,cocok
378,cod
379,coklat
380,coksu
381,coksunya
382,contoh
383,control
384,copot
385,corak
386,coughat
387,couple
388,cpat
389,cpet
390,cpt
391,cptbahan
392,cptdi
393,cream
394,crush
395,cs
396,cuaca
397,cuantik
398,cuci
399,cucok
400,cug
401,cumacrb
402,cuman
403,cus
404,cust
405,custolong
406,customer
407,cute
408,cuting
409,cutinganya
410,cutingnya
411,cuy
412,cyber
413,d
414,da
415,dalem
416,dana
417,dapet
418,dar
419,darat
420,dark
421,darkblue
422,dasar
423,datang
424,de
425,dech
426,dechklo
427,deg
428,denim
429,depa
430,depansat
431,deskripsi
432,detail
433,deui
434,dg
435,dh
436,dia
437,diam
438,dibles
439,dicancel
440,dichat
441,dicht
442,didouble
443,digmbr
444,dih
445,dikabarin
446,dikaish
447,dikecewain
448,dikirimngak
449,dikirm
450,dikit
451,dikrm
452,diksh
453,dilangin
454,din
455,dinaikin
456,dingetin
457,dingin
458,diolshop
459,dipake
460,dipakebener
461,dipakelain
462,dipakenya
463,dipasangin
464,dipengenin
465,dipgn
466,dipickup
467,dirapihin
468,direturn
469,disinidan
470,disituga
471,disni
472,dito
473,ditrima
474,ditu
475,diwanti
476,dj
477,djamin
478,dkirim
479,dkit
480,dl
481,dlm
482,dn
483,dngan
484,dngn
485,do
486,doang
487,doangbakal
488,doangpengiriman
489,doank
490,dobel
491,dompet
492,dongker
493,dongo
494,donk
495,dosa
496,double
497,dpt
498,dqtang
499,dr
500,drescode
501,drpd
502,dsini
503,dsinirecomended
504,dsni
505,dtang
506,dtengin
507,dtg
508,dtgnya
509,dtgx
510,dtng
511,dtngnya
512,dtoko
513,dua
514,duh
515,duit
516,dukuh
517,dulubuat
518,duper
519,dus
520,dusty
521,dzuhur
522,e
523,ealah
524,egak
525,eh
526,ehmalah
527,ekang
528,ekpektasi
529,ekspedisi
530,ekspektasi
531,ekspektasibahanya
532,ekspektasipesenya
533,ekspetasi
534,elastis
535,elu
536,emas
537,embel
538,emng
539,emosi
540,empuk
541,enak
542,endorse
543,enga
544,engak
545,enk
546,eror
547,estimasi
548,etalase
549,eueueueue
550,euy
551,event
552,expect
553,expedisi
554,expetasi
555,faktor
556,fast
557,fatal
558,fikir
559,fiks
560,first
561,fix
562,flas
563,flash
564,flowyadem
565,fokus
566,foto
567,fotopokoknya
568,fototerlalu
569,framenyajadi
570,fre
571,ft
572,ftbahan
573,ftoin
574,ful
575,fuschia
576,g
577,gabilang
578,gabisa
579,gacocok
580,gada
581,gadak
582,gaes
583,gag
584,gagal
585,gagang
586,gais
587,gajadi
588,gajelas
589,gaji
590,gakafayang
591,gaksih
592,gal
593,gamau
594,gambar
595,gampang
596,gampar
597,ganti
598,gantung
599,ganyesel
600,gapapa
601,gapapalah
602,gapernah
603,gara
604,garansi
605,garis
606,gasuka
607,gasusah
608,gatau
609,gausah
610,gaya
611,gbs
612,gbsa
613,gbt
614,gda
615,gede
616,geh
617,gelang
618,gelap
619,gelapas
620,gemes
621,gemeshpuas
622,gemoy
623,gencet
624,gendut
625,gentle
626,gepeng
627,gerah
628,gercep
629,ges
630,geser
631,gezs
632,gila
633,gilak
634,gilir
635,gimana
636,gin
637,ginikacanya
638,ginisalah
639,ginithx
640,gitu
641,gitubahanya
642,gitulembut
643,gk
644,gkayak
645,gm
646,gmana
647,gmbar
648,gmna
649,gnti
650,go
651,god
652,gol
653,gores
654,gorgeous
655,gosok
656,gp
657,gpapa
658,gqk
659,gr
660,gratis
661,grey
662,grgr
663,gt
664,gtu
665,gua
666,gud
667,gudang
668,gue
669,gungting
670,guys
671,gw
672,gx
673,gys
674,h
675,habis
676,hadeuh
677,haduh
678,haei
679,hahahah
680,hai
681,hak
682,halus
683,hamil
684,hancur
685,hang
686,hangus
687,hapus
688,harga
689,hargae
690,hargany
691,hargarespon
692,hari
693,haru
694,hasil
695,hati
696,hbis
697,he
698,headset
699,hehe
700,heheh
701,hehehe
702,hehehehehehe
703,hem
704,hfls
705,hias
706,hihi
707,hihimksi
708,hijab
709,hijau
710,hilang
711,hitam
712,hlng
713,hm
714,hnya
715,hole
716,hp
717,hr
718,hrg
719,hrga
720,hri
721,hrus
722,hshzbxjxnchxhxbxhcjcjcjcjcjcjcjcjcj
723,ht
724,huh
725,huhu
726,i
727,idup
728,ih
729,ijo
730,ilang
731,ilangnya
732,import
733,in
734,inboxsing
735,indo
736,inepin
737,info
738,ingatin
739,inibarang
740,inidari
741,inieh
742,iniemng
743,inima
744,inimah
745,inipas
746,inisih
747,initrimakasih
748,inj
749,insya
750,inti
751,is
752,isi
753,item
754,itemtapi
755,itmau
756,its
757,itu
758,iya
759,jaba
760,jadi
761,jaga
762,jahit
763,jait
764,jaitan
765,jaitanya
766,jaitin
767,jalan
768,jam
769,jamin
770,jangkau
771,jasa
772,jatoh
773,jatuh
774,jawa
775,jaya
776,jd
777,jdinya
778,jeans
779,jebol
780,jelak
781,jelek
782,jengkel
783,jera
784,jfdghah
785,jg
786,jgk
787,jgn
788,jilbab
789,jiwa
790,jm
791,jng
792,jngan
793,job
794,jreng
795,jstuh
796,jt
797,jual
798,juara
799,jugaharga
800,jugak
801,jugathre
802,jugjat
803,jujur
804,jujursemoga
805,julan
806,jumat
807,jumbo
808,jumlahx
809,jura
810,k
811,ka
812,kabar
813,kaca
814,kacamata
815,kacau
816,kadangana
817,kado
818,kafan
819,kaget
820,kai
821,kain
822,kait
823,kaitanya
824,kak
825,kaka
826,kakak
827,kakanya
828,kakbah
829,kakek
830,kaki
831,kakini
832,kaksoalnya
833,kaku
834,kalah
835,kalem
836,kaleng
837,kali
838,kalingk
839,kaliny
840,kalo
841,kalung
842,kam
843,kamana
844,kamera
845,kancing
846,kantong
847,kaos
848,kapok
849,karakter
850,karat
851,kardus
852,karet
853,karetgak
854,kasar
855,kasianagak
856,kasih
857,kasihsesuai
858,katun
859,katunx
860,kau
861,kaya
862,kayak
863,kayk
864,kc
865,kcewa
866,kdepnya
867,keburu
868,kece
869,kecepetan
870,kecewa
871,kecewabaru
872,kecewabngatkirain
873,kecewacuman
874,kecewajd
875,kecewapadahal
876,kecewasaya
877,kecil
878,kecilentah
879,kecilnye
880,keduakalinya
881,kehabisanwrn
882,kek
883,kekar
884,kekecewan
885,kelas
886,keliatanya
887,keluarga
888,keluh
889,kelupas
890,kemaren
891,kemarin
892,kemas
893,kembali
894,kembar
895,kembut
896,kemeja
897,ken
898,kena
899,kencang
900,kenya
901,keorange
902,kepake
903,kerah
904,kerahnyatapi
905,kerangka
906,keras
907,keratas
908,keren
909,keringat
910,kerja
911,kerudung
912,kesan
913,kesel
914,kesengoltapi
915,keset
916,kesini
917,ket
918,ketat
919,ketiak
920,keur
921,kg
922,khaki
923,khawatir
924,khusus
925,kian
926,kir
927,kira
928,kirai
929,kirain
930,kiri
931,kirim
932,kirimin
933,kl
934,klau
935,klewat
936,kli
937,kliatan
938,klihatan
939,klo
940,klok
941,klu
942,klw
943,kmdn
944,kmn
945,kmna
946,kmren
947,kmrin
948,knp
949,ko
950,kocak
951,koin
952,koko
953,kokoh
954,koleksi
955,kolekti
956,komen
957,komentnya
958,komlen
959,komplain
960,komplen
961,komplenan
962,komplit
963,kondisi
964,konfirmasi
965,konsumen
966,koq
967,korban
968,korea
969,korset
970,kosong
971,kota
972,kotak
973,kotor
974,kpke
975,kresek
976,krim
977,krm
978,krn
979,krudung
980,ksekian
981,ksh
982,ksih
983,ku
984,kualiatas
985,kualitas
986,kuat
987,kudus
988,kulaitas
989,kulit
990,kulot
991,kumplit
992,kunci
993,kuning
994,kurang
995,kurangpesan
996,kurangsuka
997,kurir
998,kurng
999,kurus
1000,kusut
1001,kuwalitas
1002,kwalita
1003,kwalitas
1004,kya
1005,kyagini
1006,kyak
1007,kyk
1008,kykny
1009,kyknya
1010,l
1011,la
1012,label
1013,laen
1014,lagijdi
1015,lagikurirnya
1016,lagini
1017,lahsesuai
1018,lai
1019,laku
1020,lamamungkin
1021,lambang
1022,lambat
1023,lampu
1024,lancar
1025,lang
1026,langanan
1027,langit
1028,langsung
1029,lanjur
1030,lap
1031,lapak
1032,lapis
1033,laris
1034,last
1035,late
1036,layan
1037,layar
1038,lbh
1039,lebar
1040,lebaran
1041,lebarantapi
1042,lebib
1043,lebih
1044,lebihjd
1045,lecet
1046,lecetgak
1047,lednya
1048,leg
1049,legan
1050,legingnya
1051,leher
1052,lehih
1053,leku
1054,lelet
1055,lem
1056,lembut
1057,lemes
1058,lenceng
1059,leng
1060,lenga
1061,lengan
1062,lengen
1063,lengkap
1064,lengkapshope
1065,lengkaptpi
1066,lengket
1067,lentur
1068,lepas
1069,lepasmungkin
1070,lepaspadahal
1071,lepaspas
1072,leyot
1073,lg
1074,lgimakasih
1075,lh
1076,lho
1077,lht
1078,liat
1079,licin
1080,lihat
1081,lilac
1082,linglung
1083,link
1084,lipat
1085,lipatanya
1086,live
1087,lmyan
1088,lngusng
1089,local
1090,logo
1091,loh
1092,lokal
1093,longar
1094,love
1095,luar
1096,lubang
1097,lucu
1098,lumayan
1099,lupa
1100,lurus
1101,lusin
1102,luv
1103,lwt
1104,m
1105,ma
1106,maaf
1107,maciew
1108,maciw
1109,maen
1110,magenta
1111,mah
1112,mahal
1113,mahalnext
1114,mahdtoko
1115,mahtapi
1116,main
1117,maka
1118,makas
1119,makasih
1120,makasihbagus
1121,makasihmaf
1122,make
1123,makek
1124,maknyos
1125,maksih
1126,mal
1127,males
1128,malikeun
1129,mana
1130,manis
1131,manset
1132,mantabs
1133,mantaf
1134,mantap
1135,mantep
1136,mantsp
1137,mantul
1138,map
1139,marah
1140,markotop
1141,maron
1142,mas
1143,masa
1144,masak
1145,masalah
1146,masalahcuma
1147,masangin
1148,maskara
1149,masker
1150,masmba
1151,masuk
1152,masukin
1153,masuktp
1154,masya
1155,mata
1156,matahari
1157,mati
1158,mau
1159,maw
1160,mayan
1161,maybe
1162,mba
1163,mbak
1164,mbakpak
1165,mdh
1166,mehong
1167,melar
1168,memebrikan
1169,meminimalisir
1170,menang
1171,menchat
1172,mencuekin
1173,mending
1174,mengecewakanbahan
1175,mengendutkok
1176,meningjatkan
1177,meningoygak
1178,menit
1179,menta
1180,mental
1181,menu
1182,meong
1183,mepet
1184,merah
1185,merahpokoke
1186,merawangak
1187,merek
1188,merk
1189,merknya
1190,mes
1191,mesan
1192,mesen
1193,mesin
1194,meuli
1195,mewah
1196,mg
1197,mgkn
1198,mgu
1199,mh
1200,mikir
1201,milih
1202,milihnya
1203,milik
1204,milo
1205,miloagak
1206,milocoughat
1207,milonya
1208,min
1209,mingu
1210,minguan
1211,minta
1212,minus
1213,miring
1214,mitesnya
1215,mkan
1216,mkasih
1217,mkntop
1218,mksh
1219,mna
1220,mngkin
1221,mnta
1222,mnurut
1223,mnyesal
1224,mo
1225,moca
1226,mod
1227,model
1228,moga
1229,mohon
1230,mon
1231,monster
1232,montok
1233,motif
1234,motifx
1235,motong
1236,mrudul
1237,mruwul
1238,msih
1239,msk
1240,mt
1241,mu
1242,muas
1243,muat
1244,muatnyaman
1245,mubazir
1246,much
1247,muda
1248,mudah
1249,muka
1250,mulus
1251,murah
1252,murahagak
1253,murahankeburu
1254,murahanmaksih
1255,murahin
1256,murce
1257,murcemap
1258,murh
1259,murmer
1260,murni
1261,muslim
1262,mustang
1263,mustangtolong
1264,musti
1265,mw
1266,mwreka
1267,my
1268,n
1269,na
1270,naikn
1271,nama
1272,nambah
1273,nambal
1274,nang
1275,nanti
1276,navy
1277,navymilo
1278,nda
1279,ndg
1280,ndk
1281,negri
1282,nempel
1283,nemu
1284,nenek
1285,neng
1286,nerawang
1287,nesxt
1288,nextime
1289,nga
1290,ngajuin
1291,ngak
1292,ngaku
1293,nganter
1294,ngantung
1295,ngaret
1296,ngasi
1297,ngasih
1298,ngatung
1299,ngatur
1300,ngaturnya
1301,ngecek
1302,ngecewain
1303,ngefoto
1304,ngejreng
1305,ngeliatin
1306,ngelupas
1307,ngepaskrna
1308,ngepres
1309,ngerepson
1310,ngeri
1311,ngerti
1312,ngerugin
1313,ngeselin
1314,ngirim
1315,ngk
1316,ngknyesel
1317,ngntur
1318,ni
1319,niat
1320,nice
1321,nih
1322,nila
1323,nilai
1324,nipu
1325,no
1326,noda
1327,nomor
1328,norak
1329,not
1330,notabene
1331,note
1332,ntah
1333,ntar
1334,nti
1335,nude
1336,nungu
1337,nunguin
1338,nungunya
1339,nurut
1340,nyabarang
1341,nyabpatahjadi
1342,nyadan
1343,nyaharga
1344,nyaho
1345,nyakayak
1346,nyala
1347,nyalah
1348,nyalahin
1349,nyaman
1350,nyamapai
1351,nyampenya
1352,nyangka
1353,nyanpenya
1354,nyantumin
1355,nyari
1356,nyathanks
1357,nyayaudah
1358,nyekek
1359,nyesal
1360,nyesel
1361,nyetingnya
1362,oder
1363,oh
1364,oiya
1365,ok
1366,okay
1367,oke
1368,okesih
1369,okey
1370,omgt
1371,ongkir
1372,ongkirnya
1373,online
1374,orang
1375,orange
1376,order
1377,org
1378,ori
1379,original
1380,orng
1381,orngnya
1382,ortu
1383,out
1384,outer
1385,over
1386,overal
1387,overload
1388,overloadmksih
1389,oversize
1390,owner
1391,ownernya
1392,pacar
1393,pack
1394,packing
1395,packingan
1396,packinganya
1397,packingn
1398,packingnya
1399,pagi
1400,paha
1401,pajang
1402,pakai
1403,pake
1404,pakek
1405,paket
1406,paksa
1407,pakta
1408,panas
1409,panasmakasih
1410,pandanganya
1411,panel
1412,pangul
1413,panjang
1414,panjangpendek
1415,panjangtp
1416,pantat
1417,papa
1418,parah
1419,paraharga
1420,parahkurir
1421,parahmksh
1422,pas
1423,pasang
1424,pasar
1425,pashmina
1426,pasmina
1427,pasti
1428,patah
1429,patahanya
1430,patahmaf
1431,patahsya
1432,paten
1433,payah
1434,pcs
1435,pcsberapa
1436,pcsdatang
1437,pdahal
1438,pdhal
1439,pdhl
1440,pecah
1441,pecahbarang
1442,peganganya
1443,pekejing
1444,peking
1445,pelang
1446,pelangang
1447,pelayananya
1448,pelayanya
1449,pencet
1450,pendek
1451,pengaturanya
1452,pengemasanan
1453,pengemasanua
1454,pengembalun
1455,pengemsan
1456,penghargan
1457,pengirimanpengemasan
1458,pengirimanya
1459,pengiriminan
1460,pengirimn
1461,pengrimana
1462,penguna
1463,pentingin
1464,penujual
1465,penyaitnya
1466,penyok
1467,per
1468,percaya
1469,pergi
1470,pergisekolah
1471,perhati
1472,peroduk
1473,persen
1474,persis
1475,pertahanin
1476,pertm
1477,pertma
1478,perut
1479,pes
1480,pesa
1481,pesan
1482,pese
1483,pgn
1484,photocromicnya
1485,pic
1486,pick
1487,pict
1488,pictcuman
1489,pictnya
1490,picture
1491,pikir
1492,pilih
1493,pingang
1494,pingangnya
1495,pingangpisatnya
1496,pingangtp
1497,pingin
1498,pingir
1499,pingiran
1500,pingiranya
1501,pingul
1502,pink
1503,pinknya
1504,pis
1505,pisandahlah
1506,pjg
1507,pke
1508,pket
1509,pketnya
1510,pkny
1511,pkoknya
1512,planing
1513,plastik
1514,plastikin
1515,plis
1516,plng
1517,pls
1518,plus
1519,pnas
1520,pngemasan
1521,pngembalian
1522,pngiriman
1523,pngrmn
1524,poko
1525,pokoa
1526,pokok
1527,pokokx
1528,pokonamah
1529,pokoxa
1530,pol
1531,polgak
1532,polos
1533,ponakan
1534,positif
1535,potong
1536,potonganya
1537,prah
1538,pramuka
1539,prduk
1540,premium
1541,privasi
1542,prna
1543,prnh
1544,product
1545,produk
1546,produknyaso
1547,produksi
1548,promo
1549,proses
1550,prsis
1551,prtama
1552,prthnkn
1553,ps
1554,pseanan
1555,psen
1556,psn
1557,psti
1558,puas
1559,puasa
1560,pundak
1561,punterimakasih
1562,punya
1563,pupus
1564,pusing
1565,putih
1566,putus
1567,q
1568,qc
1569,quality
1570,rabalalamin
1571,racun
1572,rada
1573,radiasi
1574,ragu
1575,rajut
1576,ramadhan
1577,ramah
1578,rami
1579,random
1580,rangking
1581,rante
1582,rapi
1583,rapibahan
1584,rapih
1585,ratus
1586,rawan
1587,rawang
1588,rayang
1589,rayon
1590,rb
1591,rban
1592,ready
1593,realfick
1594,realpic
1595,realpick
1596,reasonable
1597,rebel
1598,rebuy
1599,recomen
1600,recomend
1601,recomended
1602,recoment
1603,redund
1604,refund
1605,rejeki
1606,rekomen
1607,rekomend
1608,rekomendasi
1609,rekomended
1610,rena
1611,rentan
1612,renyok
1613,repeat
1614,reseler
1615,resi
1616,resp
1617,respon
1618,responya
1619,retak
1620,retakeh
1621,retur
1622,return
1623,review
1624,reviewnya
1625,ribet
1626,ribetin
1627,ribu
1628,rim
1629,ringkih
1630,risletingnya
1631,ristleting
1632,rit
1633,robek
1634,rok
1635,rokok
1636,rpi
1637,rugi
1638,rugiwalaupun
1639,rumah
1640,rupa
1641,rusa
1642,rusak
1643,rusakbikin
1644,ruwet
1645,sabtu
1646,sadar
1647,sage
1648,saj
1649,sajadan
1650,sajayang
1651,saking
1652,sakit
1653,salah
1654,salahpesen
1655,sale
1656,sampah
1657,sampai
1658,sampaibahanya
1659,sampaibhn
1660,sampaipacking
1661,sampe
1662,sampek
1663,sampenya
1664,samping
1665,sana
1666,sangka
1667,saran
1668,saranin
1669,saring
1670,sat
1671,satu
1672,satunta
1673,saya
1674,sayachat
1675,sayang
1676,sayarb
1677,sbelah
1678,sbg
1679,sbgus
1680,sblmnya
1681,sblumnya
1682,sbnernya
1683,sdah
1684,sdh
1685,sdi
1686,sdikit
1687,sdkt
1688,seamles
1689,sebel
1690,sebelahternyata
1691,sebenernya
1692,sebnaranya
1693,sedih
1694,sedikitpadahal
1695,segi
1696,segitu
1697,segituentahlah
1698,seharitapi
1699,sehat
1700,sejajar
1701,sejuk
1702,sekaliga
1703,sekian
1704,sekli
1705,sekrang
1706,selamat
1707,selasa
1708,selerer
1709,selernya
1710,seller
1711,semingu
1712,sempet
1713,sempit
1714,sempurna
1715,semua
1716,sen
1717,senak
1718,seng
1719,sengaja
1720,sengajasalah
1721,sensiri
1722,sentosa
1723,sep
1724,sepatu
1725,sepatutas
1726,seprti
1727,serabut
1728,seragam
1729,serap
1730,serius
1731,sesak
1732,sesi
1733,sesuai
1734,sesui
1735,setebel
1736,setel
1737,setela
1738,setrika
1739,sgitu
1740,sgt
1741,sha
1742,shope
1743,shopepadahal
1744,si
1745,siang
1746,sich
1747,sigitu
1748,sihjam
1749,siku
1750,silver
1751,simetris
1752,simpel
1753,sinirealpik
1754,sinkronmiring
1755,sis
1756,sistem
1757,situ
1758,siyang
1759,size
1760,sizenya
1761,sja
1762,skrg
1763,sl
1764,slah
1765,slalu
1766,slamet
1767,slmat
1768,slow
1769,slu
1770,sm
1771,sma
1772,smga
1773,smoga
1774,smoke
1775,smpai
1776,smpe
1777,smpei
1778,smua
1779,sngt
1780,sni
1781,snow
1782,snowblacksize
1783,snowyaudahlah
1784,so
1785,soalx
1786,sobek
1787,sof
1788,soft
1789,sol
1790,sophie
1791,sore
1792,sory
1793,spon
1794,spt
1795,spu
1796,square
1797,squarnya
1798,standar
1799,standarok
1800,standart
1801,stel
1802,stelah
1803,stock
1804,stok
1805,stone
1806,strapnya
1807,stylenya
1808,subhana
1809,sucses
1810,suhardi
1811,suka
1812,sukacepet
1813,sukah
1814,sukak
1815,sukses
1816,sulawesi
1817,sulit
1818,sumpah
1819,sumph
1820,super
1821,suram
1822,surprisingly
1823,suruh
1824,susah
1825,susuai
1826,sy
1827,sya
1828,syedih
1829,syg
1830,syng
1831,syuka
1832,syukak
1833,tadangya
1834,tahan
1835,tai
1836,taik
1837,takut
1838,tali
1839,taliy
1840,tambah
1841,tamgan
1842,tan
1843,tangal
1844,tangan
1845,tanganya
1846,tangkai
1847,tangung
1848,tarik
1849,taro
1850,tas
1851,tasradybatam
1852,tasready
1853,taste
1854,tatang
1855,tau
1856,taukayak
1857,tb
1858,tdi
1859,tdinya
1860,tebal
1861,tebalga
1862,tega
1863,tegak
1864,teh
1865,tekan
1866,tekuk
1867,telat
1868,teliti
1869,temen
1870,temenku
1871,tengkyu
1872,tep
1873,tera
1874,terang
1875,terawang
1876,terhura
1877,terima
1878,terimakasih
1879,terjang
1880,terjangkaupokoknya
1881,testi
1882,tetanga
1883,tetep
1884,tetp
1885,tgl
1886,tgn
1887,th
1888,thank
1889,thankque
1890,the
1891,thk
1892,thnks
1893,though
1894,thun
1895,thx
1896,tidk
1897,tidur
1898,tiga
1899,time
1900,timpal
1901,tindih
1902,ting
1903,tingal
1904,tingi
1905,tingkat
1906,tinta
1907,tipis
1908,tipisjadi
1909,tipiskaret
1910,tipismerawangkecil
1911,tipisuntung
1912,tipu
1913,titik
1914,tk
1915,tks
1916,tlg
1917,tmn
1918,tngn
1919,tngung
1920,to
1921,toko
1922,tokoa
1923,tokoh
1924,tokony
1925,tokonyadan
1926,tokosaya
1927,tolak
1928,tolong
1929,tombol
1930,tombolbuat
1931,tombolx
1932,top
1933,topesanan
1934,total
1935,tp
1936,tpi
1937,tpy
1938,training
1939,transfer
1940,trauma
1941,traumabuang
1942,trimakasih
1943,trimksh
1944,trims
1945,trm
1946,trmksh
1947,trnyata
1948,trnyta
1949,trs
1950,trus
1951,tsay
1952,tu
1953,tua
1954,tudung
1955,tuh
1956,tuhsbdjdkwjehdbejwjbdbqjajhdhdjsjwjwjwjbd
1957,tuju
1958,tukang
1959,tulis
1960,tumbas
1961,tumpuk
1962,tungu
1963,tunik
1964,turun
1965,turut
1966,tutup
1967,u
1968,uang
1969,ubah
1970,uda
1971,udah
1972,udh
1973,ueueueue
1974,uk
1975,ukir
1976,ukur
1977,ukuranya
1978,ulang
1979,ulas
1980,unboxing
1981,unboxingtoko
1982,unit
1983,untung
1984,up
1985,urgent
1986,urus
1987,usaha
1988,ush
1989,usus
1990,utama
1991,utg
1992,utk
1993,uwah
1994,v
1995,varian
1996,variasi
1997,versi
1998,vid
1999,video
2000,vidio
2001,vidioin
2002,voucher
2003,w
2004,wahib
2005,wajah
2006,wajar
2007,waktu
2008,waktuadmin
2009,walopun
2010,wanti
2011,wapik
2012,wardag
2013,wardah
2014,warna
2015,warnah
2016,warnakalo
2017,warnaya
2018,warp
2019,wbahan
2020,wey
2021,whehe
2022,whorit
2023,wide
2024,wil
2025,wk
2026,wktu
2027,wkwk
2028,wkwkw
2029,wkwkwkw
2030,wlopun
2031,woe
2032,woi
2033,wort
2034,wowkeren
2035,woy
2036,wrab
2037,wran
2038,wrap
2039,wrapadahal
2040,wrn
2041,wrna
2042,wrnanya
2043,wrni
2044,wrny
2045,ws
2046,x
2047,xixi
2048,xixixi
2049,xl
2050,xnya
2051,y
2052,yagak
2053,yah
2054,yaiyalah
2055,yajgn
2056,yalah
2057,yamau
2058,yampun
2059,yapadahal
2060,yaqch
2061,yasudahlah
2062,yaudah
2063,ydh
2064,yearbook
2065,yeay
2066,yen
2067,yha
2068,ynag
2069,yng
2070,you
2071,youtube
2072,yung
2073,zonk
